PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
SANTA CRUZ (MARINDUQUE ISL);PH;13,5;122,066667
BATANGAS CITY;PH;13,75;121,05
NASUGBU;PH;14,083333;120,616667
MANILA;PH;14,583333;120,966667
MARIVELES;PH;14,433333;120,483333
MASINLOC;PH;15,55;119,95
SAN FERNANDO HARBOR;PH;16,616667;120,316667
CALAPAN;PH;13,416667;121,183333
PORT ROMBLON;PH;12,583333;122,266667
MASBATE;PH;12,366667;123,616667
LAOANG;PH;12,566667;125,016667
PORT BORONGAN;PH;11,6;125,433333
GUIUAN;PH;11,033333;125,716667
CATBALOGAN;PH;11,766667;124,883333
TACLOBAN;PH;11,25;125
FANG-CHENG;CN;21,75;108,35
BEIHAI;CN;21,483333;109,066667
HAIKOU;CN;20,05;110,283333
BASUO;CN;19,1;108,616667
ZHANJIANG;CN;21,2;110,4
LON SHUI TERMINAL;CN;20,833333;115,683333
MACAU;MO;22,183333;113,566667
HUANGPUXINGANG;CN;23,05;113,5
GUANGZHOU;CN;23,116667;113,233333
HONG KONG;HK;22,266667;114,2
SHAN T OU;CN;23,366667;116,683333
XIAMEN;CN;24,45;118,066667
CHI-LUNG;TW;25,133333;121,766667
SU-AO;TW;24,6;121,866667
HUA-LIEN KANG;TW;23,983333;121,6
KAO-HSIUNG;TW;22,616667;120,25
TAN-SHUI;TW;25,183333;121,4
PENG-HU KANG;TW;23,583333;119,533333
TAI-CHUNG KANG;TW;24,3;120,5
BASCO;PH;20,45;121,966667
CLAVERIA;PH;18,616667;121,083333
PORT SAN VICENTE;PH;18,516667;122,133333
APARRI;PH;18,366667;121,633333
HONDAGUA;PH;13,95;122,233333
JOSE PANGANIBAN;PH;14,283333;122,683333
VIRAC;PH;13,583333;124,25
TABACO;PH;13,366667;123,733333
LEGAZPI PORT;PH;13,15;123,75
CAM PHA;VN;21,033333;107,366667
TULAGHI;SB;-9,1;160,15
HONIARA;SB;-9,416667;159,95
LUGANVILLE;VU;-15,516667;167,166667
PORT VILA;VU;-17,733333;168,316667
FORARI BAY;VU;-17,683333;168,55
BAIE DE KOUAOUA;NC;-21,383333;165,816667
KUANTAN NEW PORT;MY;3,966667;103,433333
KIRTEH OIL TERMINAL;MY;4,566667;103,466667
KUALA TRENGGANU;MY;5,35;103,133333
TAPIS MARINE TERMINAL A;MY;5,516667;105,016667
BANGKOK;TH;13,75;100,5
SI RACHA TERMINAL;TH;13,116667;100,883333
KO SI CHANG TERMINAL;TH;13,166667;100,816667
KAMPONG SAOM;KH;10,633333;103,5
PHSAR REAM;KH;10,5;103,6
DUONG DONG;VN;10,216667;103,966667
THANH HO CHI MINH;VN;10,766667;106,716667
VINH CAM RANH;VN;11,883333;109,166667
NHA TRANG;VN;12,25;109,233333
QUI NHON;VN;13,766667;109,233333
DA NANG;VN;16,1;108,216667
HAI PHONG;VN;20,916667;106,683333
HON GAI;VN;20,95;107,066667
YANDINA;SB;-9,083333;159,216667
TERN ISLAND;US;23,866667;-166,283333
JOHNSTON ATOLL;US;16,75;-169,516667
MIDWAY ISLAND;US;28,183333;-177,366667
WAKE ISLAND;US;19,283333;166,616667
MAJURO ATOLL;MH;7,083333;171,383333
TARAWA ATOLL;KI;1,333333;172,933333
NAURU;NR;-0,533333;166,916667
SAIPAN;MP;15,2;145,683333
TINIAN;MP;14,966667;145,616667
ROTA;MP;14,133333;145,15
APRA HARBOR;GU;13,45;144,616667
LELE HARBOR;FM;5,333333;163,033333
